example_id,sentence,code,keyword,lang,score,raw_output
0,You donated money to UNICEF because you believed in them.,lp-e-b,organization,English,5,"The sentence is fully grammatical, with correct subject-verb agreement, pronoun usage, and clause structure."
1,Which organization did you donate money to because you believed in?,lp-e-0,organization,English,4,"The sentence is mostly grammatical, but the phrase 'because you believed in' feels slightly incomplete and might be improved with 'because you believed in it' or 'because you believed in their cause' for full clarity and grammaticality."
2,Which organization did you donate money to because you believed in it?,lp-e-2,organization,English,5,"The sentence is fully grammatical, with correct use of a subordinate clause and proper word order."
3,Which organization did you donate money to it because you believed in?,lp-e-1,organization,English,2,"The sentence is mostly ungrammatical due to the unnecessary pronoun 'it', which creates a redundancy. A grammatically correct alternative would be 'Which organization did you donate money to because you believed in it?' or 'Which organization did you donate money to because you believed in its cause?'"
4,Which organization did you donate money to it because you believed in it?,lp-e-3,organization,English,2,"The sentence is mostly ungrammatical due to the redundant pronoun 'it' after 'to', which is already implied by the preposition, and the unclear connection between the two instances of 'it'."
6,Hvilken organisasjon donerte du penger til fordi du trodde på den?,lp-n-2,organization,Norwegian,5,"The sentence is fully grammatical, with correct use of subordinate clause 'fordi du trodde på den' and interrogative pronoun 'Hvilken'."
7,Hvilken organisasjon donerte du penger til den fordi du trodde på?,lp-n-1,organization,Norwegian,5,"The sentence is fully grammatical, with correct word order and use of subordinate clause 'fordi du trodde på den'."
8,Hvilken organisasjon donerte du penger til den fordi du trodde på den?,lp-n-3,organization,Norwegian,5,"The sentence is fully grammatical, with correct use of subordinate clauses and word order."
9,Hvilken organisasjon donerte du penger til fordi du trodde på?,lp-n-0,organization,Norwegian,5,"The sentence is fully grammatical, with correct use of the interrogative pronoun 'hvilken', verb 'donerte', and subordinate clause 'fordi du trodde på'."
10,Du donerte penger til Frelsesarmeen fordi du trodde på den.,lp-n-b,organization,Norwegian,5,"The sentence is fully grammatical, with correct verb conjugation, word order, and use of prepositions and subordinate clause structure."
13,Which type of cod did John weigh before slaying?,lp-e-0,cod,English,5,"The sentence is fully grammatical, with correct use of a wh-question, verb tense, and sentence structure."
14,Which type of cod did John weigh it before slaying?,lp-e-1,cod,English,2,"The sentence is mostly ungrammatical due to the incorrect use of 'it', which seems to be a pronoun without a clear antecedent, and the word order is unusual. A more grammatical construction would be 'What type of cod did John weigh before slaying it?'"
15,Which type of cod did John weigh it before slaying it?,lp-e-3,cod,English,2,"The sentence is mostly ungrammatical due to the incorrect use of 'it' as a resumptive pronoun after 'cod', which is the antecedent of the relative pronoun 'which'. The correct construction would be 'Which type of cod did John weigh before slaying it?'"
16,Which type of cod did John weigh before slaying it?,lp-e-2,cod,English,5,"The sentence is fully grammatical, with correct use of a subordinate clause and proper verb conjugation."
17,John weighed this type of cod before slaying it.,lp-e-b,cod,English,5,"The sentence is fully grammatical, with correct verb tenses and a logical sequence of actions."
19,Hva slags torsk pleier Ola å veie for å gjette vekten av?,lp-n-0,cod,Norwegian,5,"The sentence is fully grammatical, with correct use of interrogative 'Hva slags', verb 'pleier' in the correct form, and proper sentence structure."
20,Hva slags torsk pleier Ola å veie for å gjette vekten av den?,lp-n-2,cod,Norwegian,5,"The sentence is fully grammatical, with correct use of interrogative 'Hva slags', verb 'pleier' in the correct form, and a subordinate clause 'å veie for å gjette vekten av den' that is properly connected to the main clause."
21,Hva slags torsk pleier Ola å veie den for å gjette vekten av?,lp-n-1,cod,Norwegian,5,"The sentence is fully grammatical, with correct use of interrogative 'Hva slags', verb 'pleier' in the correct form, and proper sentence structure."
22,Hva slags torsk pleier Ola å veie den for å gjette vekten av den?,lp-n-3,cod,Norwegian,5,"The sentence is fully grammatical, with correct use of interrogative 'Hva slags', verb 'pleier' in the correct form, and correct word order."
23,Ola pleier å veie denne type torsk for å gjette vekten av den.,lp-n-b,cod,Norwegian,5,"The sentence is fully grammatical, with correct verb conjugation, word order, and use of prepositions."
27,The German Shepherd is exactly the kind of dog which everyone who owns often takes to the vet.,pl-e-0,dog,English,4,"The sentence is mostly grammatical, but the placement of 'who owns' is slightly awkward and may be considered unclear. A more natural phrasing would be 'The German Shepherd is exactly the kind of dog that people who own one often take to the vet.'"
28,The German Shepherd is exactly the kind of dog which everyone who owns it often takes to the vet.,pl-e-1,dog,English,5,"The sentence is fully grammatical, with proper use of a relative clause and subject-verb agreement."
29,The German Shepherd is exactly the kind of dog which everyone who owns it often takes it to the vet.,pl-e-3,dog,English,2,"The sentence is mostly ungrammatical due to the incorrect use of the relative pronoun 'which' and the repetition of 'it', making the sentence awkward and unclear. A more grammatical construction would be: 'The German Shepherd is exactly the kind of dog that often needs to be taken to the vet by its owners.'"
30,The German Shepherd is exactly the kind of dog which everyone who owns often takes it to the vet.,pl-e-2,dog,English,2,"The sentence is mostly ungrammatical due to the incorrect use of the pronoun 'it', which creates a dangling pronoun reference. A more grammatical construction would be: 'The German Shepherd is exactly the kind of dog that everyone who owns one often takes to the vet.'"
31,Everyone who owns a German Shepherd often takes it to the vet.,pl-e-b,dog,English,5,"The sentence is fully grammatical, with proper subject-verb agreement and a clear relative clause."
33,Border collien er akkurat den type hund som alle som eier tar med til veterinæren.,pl-n-0,dog,Norwegian,5,"The sentence is fully grammatical, with correct use of verb conjugation, noun agreement, and sentence structure."
34,Border collien er akkurat den type hund som alle som eier den tar med til veterinæren.,pl-n-1,dog,Norwegian,5,"The sentence is fully grammatical, with correct use of verb conjugation, noun agreement, and sentence structure."
35,Border collien er akkurat den type hund som alle som eier tar den med til veterinæren.,pl-n-2,dog,Norwegian,2,"The sentence lacks coherence and has an unclear structure, particularly in the phrase 'alle som eier tar den med til veterinæren', which seems to be missing a direct object for 'eier'."
