,group,llama_mean,llama_std,gpt4_mean,gpt4_std,gram_mean,score_diff
3,1d,3.5,2.1213203435596424,1.0,0.0,5.0,2.5
6,2c,3.5,2.1213203435596424,1.0,0.0,1.0,2.5
7,2d,3.5,2.1213203435596424,1.0,0.0,5.0,2.5
12,atb1,5.0,0.0,3.0,2.8284271247461903,5.0,2.0
18,lbe1,3.0,1.4142135623730951,5.0,0.0,5.0,2.0
30,rel9,3.5,2.1213203435596424,5.0,0.0,5.0,1.5
2,1c,3.0,1.4142135623730951,1.5,0.7071067811865476,1.0,1.5
24,rel3,5.0,0.0,3.5,2.1213203435596424,5.0,1.5
21,lbe4,3.0,1.4142135623730951,1.5,0.7071067811865476,3.0,1.5
20,lbe3,3.0,1.4142135623730951,1.5,0.7071067811865476,3.0,1.5
19,lbe2,3.5,2.1213203435596424,5.0,0.0,5.0,1.5
11,3d,3.5,2.1213203435596424,2.0,0.0,5.0,1.5
15,atb4,3.5,2.1213203435596424,4.5,0.7071067811865476,1.0,1.0
10,3c,3.0,1.4142135623730951,2.0,0.0,1.0,1.0
13,atb2,4.5,0.7071067811865476,5.0,0.0,5.0,0.5
17,atb6,1.5,0.7071067811865476,2.0,0.0,1.0,0.5
9,3b,4.5,0.7071067811865476,4.0,1.4142135623730951,5.0,0.5
8,3a,4.5,0.7071067811865476,5.0,0.0,5.0,0.5
27,rel6,3.0,2.8284271247461903,3.5,2.1213203435596424,5.0,0.5
23,rel2,1.5,0.7071067811865476,1.0,0.0,1.0,0.5
4,2a,4.5,0.7071067811865476,5.0,0.0,5.0,0.5
25,rel4,5.0,0.0,5.0,0.0,5.0,0.0
29,rel8,1.0,0.0,1.0,0.0,1.0,0.0
28,rel7,5.0,0.0,5.0,0.0,5.0,0.0
26,rel5,1.0,0.0,1.0,0.0,1.0,0.0
22,rel1,5.0,0.0,5.0,0.0,5.0,0.0
14,atb3,5.0,0.0,5.0,0.0,5.0,0.0
5,2b,5.0,0.0,5.0,0.0,5.0,0.0
16,atb5,3.5,2.1213203435596424,3.5,2.1213203435596424,1.0,0.0
1,1b,4.5,0.7071067811865476,4.5,0.7071067811865476,5.0,0.0
0,1a,5.0,0.0,5.0,0.0,5.0,0.0
