Unnamed: 0,keyword,code,sentence,tense,gpt-4_score
0,organization,lp-e-b,You donated money to UNICEF because you believed in them.,past,5
1,organization,lp-e-0,Which organization did you donate money to because you believed in?,past,2
2,organization,lp-e-2,Which organization did you donate money to because you believed in it?,past,5
3,organization,lp-e-1,Which organization did you donate money to it because you believed in?,past,1
4,organization,lp-e-3,Which organization did you donate money to it because you believed in it?,past,2
5,,,,,1
6,organization,lp-n-2,Hvilken organisasjon donerte du penger til fordi du trodde på den?,past,5
7,organization,lp-n-1,Hvilken organisasjon donerte du penger til den fordi du trodde på?,past,1
8,organization,lp-n-3,Hvilken organisasjon donerte du penger til den fordi du trodde på den?,past,2
9,organization,lp-n-0,Hvilken organisasjon donerte du penger til fordi du trodde på?,past,5
10,organization,lp-n-b,Du donerte penger til Frelsesarmeen fordi du trodde på den.,past,5
11,,,,,1
12,,,,,1
13,cod,lp-e-0,Which type of cod did John weigh before slaying?,inf,5
14,cod,lp-e-1,Which type of cod did John weigh it before slaying?,inf,1
15,cod,lp-e-3,Which type of cod did John weigh it before slaying it?,inf,2
16,cod,lp-e-2,Which type of cod did John weigh before slaying it?,inf,5
17,cod,lp-e-b,John weighed this type of cod before slaying it.,inf,5
18,,,,,1
19,cod,lp-n-0,Hva slags torsk pleier Ola å veie for å gjette vekten av?,inf,5
20,cod,lp-n-2,Hva slags torsk pleier Ola å veie for å gjette vekten av den?,inf,5
21,cod,lp-n-1,Hva slags torsk pleier Ola å veie den for å gjette vekten av?,inf,2
22,cod,lp-n-3,Hva slags torsk pleier Ola å veie den for å gjette vekten av den?,inf,2
23,cod,lp-n-b,Ola pleier å veie denne type torsk for å gjette vekten av den.,inf,5
24,,,,,1
25,,,,,1
26,,,,,1
27,dog,pl-e-0,The German Shepherd is exactly the kind of dog which everyone who owns often takes to the vet.,,2
28,dog,pl-e-1,The German Shepherd is exactly the kind of dog which everyone who owns it often takes to the vet.,,4
29,dog,pl-e-3,The German Shepherd is exactly the kind of dog which everyone who owns it often takes it to the vet.,,2
30,dog,pl-e-2,The German Shepherd is exactly the kind of dog which everyone who owns often takes it to the vet.,,2
31,dog,pl-e-b,Everyone who owns a German Shepherd often takes it to the vet.,,5
32,,,,,1
33,dog,pl-n-0,Border collien er akkurat den type hund som alle som eier tar med til veterinæren.,,4
34,dog,pl-n-1,Border collien er akkurat den type hund som alle som eier den tar med til veterinæren.,,4
35,dog,pl-n-2,Border collien er akkurat den type hund som alle som eier tar den med til veterinæren.,,2
36,dog,pl-n-3,Border collien er akkurat den type hund som alle som eier den tar den med til veterinæren.,,2
37,dog,pl-n-b,Alle som eier en Border Collie tar den med til veterinæren.,,5
38,,,,,1
39,problem,pl-e-0,This is a problem that everyone who studies spends hours trying to solve.,,5
40,problem,pl-e-1,This is a problem that everyone who studies it spends hours trying to solve.,,5
41,problem,pl-e-2,This is a problem that everyone who studies spends hours trying to solve it.,,2
42,problem,pl-e-3,This is a problem that everyone who studies it spends hours trying to solve it.,,2
43,problem,pl-e-b,Everyone who studies it spends hours trying to solve it.,,5
44,,,,,1
45,problem,pl-n-0,Det her er et problem som alle som studerer tilbringer timer med å løse.,,2
46,problem,pl-n-1,Det her er et problem som alle som studerer det tilbringer timer med å løse.,,5
47,problem,pl-n-2,Det her er et problem som alle som studerer tilbringer timer med å løse det.,,2
48,problem,pl-n-3,Det her er et problem som alle som studerer det tilbringer timer med å løse det.,,2
49,problem,pl-n-b,Alle som studerer det her problemet tilbringer timer med å løse det.,,5
50,,,,,1
51,,,,,1
52,,,,,1
53,war,lp-n-0,Hvem fortalte du om krigen uten å vite var sjøfolk.,inf,1
54,war,lp-n-2,Hvem fortalte du om krigen uten å vite de var sjøfolk.,inf,4
55,war,lp-n-1,Hvem fortalte du dem om krigen uten å vite var sjøfolk.,inf,1
56,war,lp-n-3,Hvem fortalte du dem om krigen uten å vite de var sjøfolk.,inf,5
57,war,lp-n-b,Du fortalte dem om krigen uten å vite de var sjøfolk.,inf,5
58,,,,,1
59,war,lp-e-0,Who did you tell about the war without knowing were veterans.,inf,1
60,war,lp-e-2,Who did you tell about the war without knowing they were veterans.,inf,4
61,war,lp-e-1,Who did you tell them about the war without knowing were veterans.,inf,1
62,war,lp-e-3,Who did you tell them about the war without knowing they were veterans.,inf,1
63,war,lp-e-b,You told them about the war without knowing they were veterans.,inf,5
64,stretch,pl-n-0,Her er himmelen mannen som ville klippe opp prøver å knuse i tusen biter.,,1
65,stretch,pl-n-1,Her er himmelen mannen som ville klippe den opp prøver å knuse i tusen biter.,,1
66,stretch,pl-n-2,Her er himmelen mannen som ville klippe opp prøver å knuse den i tusen biter.,,1
67,stretch,pl-n-3,Her er himmelen mannen som ville klippe den opp prøver å knuse den i tusen biter.,,1
68,stretch,pl-n-b,Mannen som ville klippe opp himmelen prøver å knuse den i tusen biter.,,5
69,stretch,pl-e-0,This is the sky which the man who would cut up tries to shatter into pieces.,,3
70,stretch,pl-e-1,This is the sky which the man who would cut it up tries to shatter into pieces.,,5
71,stretch,pl-e-2,This is the sky which the man who would cut up tries to shatter it into pieces.,,2
72,stretch,pl-e-3,This is the sky which the man who would cut it up tries to shatter it into pieces.,,2
73,stretch,pl-e-b,The man who would cut up the sky tries to shatter it into pieces.,,5
74,fruit,lp-e-0,Which apples did she pick before she cleaned?,past,5
75,fruit,lp-e-2,Which apples did she pick before she cleaned them?,past,5
76,fruit,lp-e-1,Which apples did she pick them before she cleaned?,past,1
77,cities,lp-e-0,Which cities did she visit before she studied?,past,5
78,cities,lp-e-2,Which cities did she visit before she studied them?,past,5
79,cities,lp-e-1,Which cities did she visit them before she studied?,past,1
80,emails,lp-e-0,Which emails does he answer before he reads?,present,5
81,emails,lp-e-2,Which emails does he answer before he reads them?,present,5
82,emails,lp-e-1,Which emails does he answer them before he reads?,present,1
83,books,lp-e-0,Which books do they shelve before they categorize?,present,5
84,books,lp-e-2,Which books do they shelve before they categorize them?,present,5
85,books,lp-e-1,Which books do they shelve them before they categorize?,present,1
86,letters,lp-e-0,Which letters did he write before he mailed?,past,5
87,letters,lp-e-2,Which letters did he write before he mailed them?,past,5
88,letters,lp-e-1,Which letters did he write them before he mailed?,past,2
