,id,sentence,lang,llama,gpt4,gramm,group
0,1a,Which article did you throw away without reading,en,5,5,5,para-1
1,1a,Hvilken artikkel kastet du uten å lese,no,5,5,5,para-1
2,1b,Which article did you throw away without reading it,en,4,4,5,para-1
3,1b,Hvilken artikkel kastet du uten å lese den,no,5,5,5,para-1
4,1c,Which article did you throw it away without reading,en,2,1,1,para-1
5,1c,Hvilken artikkel kastet du den uten å lese,no,4,2,1,para-1
6,1d,Which article did you throw it away without reading it,en,2,1,1,para-1
7,1d,Hvilken artikkel kastet du den uten å lese den,no,5,1,1,para-1
8,2a,Which room did he clean before painting,en,4,5,5,para-2
9,2a,Hvilket rom ryddet han før han malte,no,5,5,5,para-2
10,2b,Which room did he clean before painting it,en,5,5,5,para-2
11,2b,Hvilket rom ryddet han før han malte det,no,5,5,5,para-2
12,2c,Which room did he clean it before painting,en,2,1,1,para-2
13,2c,Hvilket rom ryddet han det før han malte,no,5,1,1,para-2
14,2d,Which room did he clean it before painting it,en,2,1,1,para-2
15,2d,Hvilket rom ryddet han det før han malte det,no,5,1,1,para-3
16,3a,Ola is a man who everyone who plays chess with ends up liking,en,4,5,5,para-3
17,3a,Ola er en mann som alle som spiller sjakk med ender opp med å like,no,5,5,5,para-3
18,3b,Ola is a man who everyone who plays chess with him ends up liking,en,4,3,5,para-3
19,3b,Ola er en mann som alle som spiller sjakk med ham ender opp med å like,no,5,5,5,para-3
20,3c,Ola is a man who everyone who plays chess with ends up liking him,en,2,2,1,para-3
21,3c,Ola er en mann som alle som spiller sjakk med ender opp med å like ham,no,4,2,1,para-3
22,3d,Ola is a man who everyone who plays chess with him ends up liking him,en,2,2,1,para-3
23,3d,Ola er en mann som alle som spiller sjakk med ham ender opp med å like ham,no,5,2,1,atb-1
24,atb1,Who did you say that Kari likes and Per hates,en,5,5,5,atb-1
25,atb1,Hvem sa du at Kari liker og Per hater,no,5,1,5,atb-2
26,atb2,What do you think he brought and placed in the car,en,4,5,5,atb-2
27,atb2,Hva tror du at han tok med seg og la i bilen,no,5,5,5,atb-3
28,atb3,Which book did she say she bought and read on the train,en,5,5,5,atb-3
29,atb3,Hvilken bok sa hun at hun kjøpte og leste på toget,no,5,5,5,atb-4
30,atb4,Who did you say that Kari likes Per and hates Marit,en,2,4,1,atb-4
31,atb4,Hvem sa du at Kari liker Per og hater Marit,no,5,5,1,atb-5
32,atb5,What do you think he brought the camera and placed in the car,en,2,2,1,atb-5
33,atb5,Hva tror du at han tok med seg kameraet og la i bilen,no,5,5,1,atb-6
34,atb6,Which book did she say she bought and read the newspaper on the train,en,1,2,1,atb-6
35,atb6,Hvilken bok sa hun at hun kjøpte og leste avisen på toget,no,2,2,1,atb-6
36,lbe1,Who do you believe he sold pictures of,en,4,5,5,rbe-1
37,lbe1,Hvem tror du at han solgte bilder av,no,2,5,5,rbe-1
38,lbe2,Who did she say they painted a portrait of,en,5,5,5,rbe-2
39,lbe2,Hvem sa hun at de malte et portrett av,no,2,5,5,rbe-2
40,lbe3,Who do you believe pictures of will be on sale,en,4,2,1,lbe-1
41,lbe3,Hvem tror du at bilder av vil bli lagt ut for salg,no,2,1,5,lbe-1
42,lbe4,Who did she say portraits of hung in the gallery,en,4,2,1,lbe-2
43,lbe4,Hvem sa hun at portretter av hang i galleriet,no,2,1,5,lbe-2
44,rel1,The man who has eaten dinner will leave soon,en,5,5,5,yn-1
45,rel1,Mannen som spiste middag reiste hjem,no,5,5,5,yn-1
46,rel2,Has the man who eaten dinner will leave soon,en,1,1,1,yn-1
47,rel2,Spiste mannen som middag reiste hjem,no,2,1,1,yn-1
48,rel3,Will the man who has eaten dinner leave soon,en,5,5,5,yn-1
49,rel3,Reiste mannen som spiste middag hjem,no,5,2,5,yn-1
50,rel4,The woman who had read the book might go to the library,en,5,5,5,yn-2
51,rel4,Kvinnen som leste boka dro til biblioteket,no,5,5,5,yn-2
52,rel5,Had the woman who read the book might go to the library,en,1,1,1,yn-2
53,rel5,Leste kvinnen som boka dro til biblioteket,no,1,1,1,yn-2
54,rel6,Might the woman who had read the book go to the library,en,5,5,5,yn-2
55,rel6,Dro kvinnen som leste boka til biblioteket,no,1,2,5,yn-2
56,rel7,The boy who has seen the movie will go home,en,5,5,5,yn-3
57,rel7,Gutten som så filmen gikk hjem,no,5,5,5,yn-3
58,rel8,Has the boy who seen the movie will go home,en,1,1,1,yn-3
59,rel8,Så gutten som filmen gikk hjem,no,1,1,1,yn-3
60,rel9,Will the boy who has seen the movie go home,en,5,5,5,yn-3
61,rel9,Gikk gutten som så filmen hjem,no,2,5,5,yn-3
